ds,yhat,yhat_lower,yhat_upper
2018-07-07,4305.384634624135,-1854.303310153602,10673.488021791367
2018-07-08,4303.249858036133,-1528.5517752129383,10087.497496141554
2018-07-09,4404.611336694561,-1590.6331874888535,9973.561155232394
2018-07-10,4354.372957079688,-1692.5772794608974,10434.71851067597
2018-07-11,4453.169545908867,-1409.3617252493723,10366.431557328651
2018-07-12,4402.065906188827,-1849.632532213092,10278.023686540666
2018-07-13,4464.753260113701,-1321.5275289782055,10390.235291595758
2018-07-14,4458.588541620673,-1199.073917001115,10495.35638157131
2018-07-15,4520.897954942526,-1786.9180976369048,10951.892496706168
2018-07-16,4678.610452957714,-1453.9685675959952,10501.609462914204
2018-07-17,4676.050291416575,-656.6263420774407,10885.216275149929
2018-07-18,4813.440546171654,-950.1413512630033,10863.812434479927
2018-07-19,4791.604351727902,-1331.6224086924494,10753.352253968651
2018-07-20,4874.159703867535,-1049.6843687464327,11002.23080351841
2018-07-21,4878.553438907087,-1485.573465888919,10884.041381267969
2018-07-22,4942.356061538605,-921.6370797031875,10813.83801572482
2018-07-23,5092.8834075213545,-701.4454207669678,10848.10317973199
2018-07-24,5073.324592779744,-797.472854723758,11820.273277363644
2018-07-25,5186.1791025611765,-505.04249440041826,11094.10186173134
2018-07-26,5132.989242386641,-577.21813789034,11195.113199633963
2018-07-27,5178.165341012579,-522.4363632714851,11553.005505356445
2018-07-28,5139.999333960118,-668.3204590990985,10942.006590026274
2018-07-29,5156.939030590862,-631.8971232750927,10636.418197933184
2018-07-30,5257.18956305569,-395.0021203746212,11186.334891206
2018-07-31,5186.472054722342,-435.8584066724045,11698.548924496297
2018-08-01,5246.49228980588,-1035.4811240369738,11421.872696333161
2018-08-02,5139.607026526091,-988.5829818097798,11250.399868822049
2018-08-03,5130.984647434927,-558.0567010176336,11403.64506319416
2018-08-04,5039.606556242901,-766.9841268862631,11440.903571119841
2018-08-05,5004.531716926401,-919.7909228058089,10791.390384853585
2018-08-06,5054.490955958498,-576.4699860983964,11283.965938115145
2018-08-07,4935.641114147291,-836.8937269490941,10971.58322385002
2018-08-08,4950.031806580782,-743.4787378261086,10682.587664563458
2018-08-09,4800.272341211455,-1073.4212439457372,10684.656744731798
2018-08-10,4751.69533455053,-1364.1675717107994,10450.208897780385
2018-08-11,4623.3632221051375,-1675.048979190144,10289.749112311416
2018-08-12,4554.339799213686,-1263.5597953295435,10287.54748405275
2018-08-13,4573.293113744661,-870.4144336808373,10754.009522319393
2018-08-14,4426.259468431859,-1856.5948076479026,9779.670521204505
2018-08-15,4415.120943681706,-1596.459898078097,10505.054283480295
2018-08-16,4242.283635226706,-1665.8754774793415,10118.006245695837
2018-08-17,4172.852790851347,-1524.0728711569045,10439.334003871814
2018-08-18,4025.6507013016258,-1645.7204265278158,9617.079113796253
2018-08-19,3939.4991594632716,-1670.8274288037996,10123.731934290558
2018-08-20,3942.8325167989287,-1754.9016738095079,9967.940750692238
2018-08-21,3781.470838542273,-2704.569013877045,9703.122066987331
2018-08-22,3757.10535408379,-1874.0414994847356,9556.026675100167
2018-08-23,3571.9832287322292,-2633.2462851313526,9977.149401832223
2018-08-24,3491.08772183807,-2632.2706240763746,9594.47724113925
2018-08-25,3333.1595173883975,-2917.052547900113,9242.510956973047
2018-08-26,3236.9810220812988,-2927.2022442423295,9697.785780589822
2018-08-27,3230.9896890858013,-2866.7619101677324,8925.633127624647
2018-08-28,3061.0499433349682,-3062.6072133080843,9124.380362287939
2018-08-29,3028.936020123942,-3170.3495960522346,8676.50523967701
2018-08-30,2837.012894171155,-2973.9625119674097,9157.43931840592
2018-08-31,2750.4115446528713,-3073.4700756608527,9168.123664267836
2018-09-01,2588.0445456685006,-3475.4563218428,8191.2712447398735
2018-09-02,2488.883996194606,-3966.530124757182,8398.6108337842
2018-09-03,2481.5680751805194,-3580.3128148247106,8602.804436230592
2018-09-04,2312.166026306666,-3529.556587903761,8218.571413317468
2018-09-05,2282.6541070714075,-3550.737561993361,8537.578978302288
2018-09-06,2095.589890056901,-4201.538011496957,8085.073324451232
2018-09-07,2016.2813545475492,-4021.733066278053,7913.436540037722
2018-09-08,1863.7969275661962,-3818.2713484716987,8237.134475991037
2018-09-09,1777.238630881614,-4047.775095469186,7893.2222790593105
2018-09-10,1785.3447318905537,-3882.169223108763,7845.938821006643
2018-09-11,1634.2517829507924,-4690.196274270691,7597.389163989217
2018-09-12,1625.9686306792346,-4717.432574837388,7358.239755892498
2018-09-13,1463.0497968836416,-4261.082847564468,7487.182963853673
2018-09-14,1410.7646511849625,-4084.2807249345497,7557.257888421687
2018-09-15,1288.108486433859,-4306.759284537045,7727.2388292343285
2018-09-16,1234.077578540684,-4572.819304690332,7432.945108284108
2018-09-17,1277.274530343363,-4941.25494025155,7431.363331114979
2018-09-18,1163.673666551501,-4796.606914414955,7565.923225460834
2018-09-19,1195.0989291321112,-4892.1748660693565,7206.86938000653
2018-09-20,1073.9015327315374,-5272.773173285014,7275.58654959389
2018-09-21,1065.1336531440302,-5096.931290758432,6983.379712610052
2018-09-22,987.5641126505361,-5366.537431942768,6945.4734245030195
2018-09-23,979.9580008952662,-5185.156239604477,6970.963179234376
2018-09-24,1070.6863965131379,-4456.43686319795,7067.038712744546
2018-09-25,1005.495834375165,-5199.771344527425,7046.506129041076
2018-09-26,1085.989861004864,-4881.459235255449,6896.565402554791
2018-09-27,1014.3098488370015,-5120.526666792322,7459.434522130653
2018-09-28,1055.3112730451376,-4877.001543257901,6798.844180758179
2018-09-29,1027.5813662337905,-4864.817230129843,7299.5578643685885
2018-09-30,1069.720062221937,-4703.535873263613,7435.879750583943
2018-10-01,1209.950387501457,-4720.196431499523,7111.042730224635
2018-10-02,1193.8879584304032,-5110.6646206004925,6710.447556187561
2018-10-03,1323.0219582298805,-4659.3151059489965,7638.316974628533
2018-10-04,1299.3948122976835,-4764.06835896675,7129.266917885454
2018-10-05,1387.7768273526035,-4384.247877867974,7584.44480635012
2018-10-06,1406.6817827576515,-4657.659595115925,7680.500061844876
2018-10-07,1494.6454667815078,-4208.146217504759,7478.328352827434
2018-10-08,1679.8334034586205,-4531.674821632235,8035.18962037382
2018-10-09,1707.8075179187035,-4137.415550444476,7964.352851996807
2018-10-10,1880.0042041061042,-4599.110834768291,7697.845649032433
2018-10-11,1898.4111007911224,-3644.241600863647,7942.990517907964
2018-10-12,2027.7389241851697,-3637.661466118777,8234.225743065434
2018-10-13,2086.4344218680963,-4010.909634547971,7749.410515012788
2018-10-14,2212.9565093157094,-3946.6459651663376,7922.306640110935
2018-10-15,2435.3818943409706,-3529.5660356792246,8297.485654549651
2018-10-16,2499.169987540662,-3587.586507504853,8333.052916758712
2018-10-17,2703.058840149389,-3625.194559109822,8351.582439999245
2018-10-18,2751.483261490089,-3510.182939769832,8827.927073449699
2018-10-19,2909.0038558068895,-3234.374648932351,8751.890608539205
2018-10-20,2993.900687326988,-3006.3196811051375,9282.250661295888
2018-10-21,3144.4498257543783,-3006.4331313096886,9204.621383581429
2018-10-22,3388.5298402918297,-2763.2138059642984,9432.40835332032
2018-10-23,3471.3880345318876,-2812.0464541466376,9555.286391529427
2018-10-24,3694.1189165148007,-1943.5738612231237,9328.440487581616
